City Name,Country,Latitude,Longitude,Temperature (F),Humidity,Cloudiness,Wind Speed (MPH),Time of Data Calculation
baghdad,IQ,33.34,44.4,69.8,35,0,4.7,2020-10-19 23:57:40
fondi,IT,41.35,13.43,54.34,75,26,1.01,2020-10-20 00:05:26
busselton,AU,-33.65,115.33,60.26,82,1,11.5,2020-10-19 23:53:27
mugur-aksy,RU,50.35,90.5,15.98,82,96,5.14,2020-10-19 23:59:08
sao desiderio,BR,-12.36,-44.97,76.91,61,80,2.64,2020-10-20 00:05:26
ostrovnoy,RU,68.05,39.51,35.06,84,90,13.29,2020-10-20 00:05:26
cabedelo,BR,-6.98,-34.83,75.2,83,20,5.82,2020-10-19 23:57:17
port alfred,ZA,-33.59,26.89,62.64,80,67,19.98,2020-10-19 23:58:39
bredasdorp,ZA,-34.53,20.04,59,72,100,11.41,2020-10-19 23:58:40
coari,BR,-4.08,-63.14,77.49,85,76,0.81,2020-10-20 00:01:44
provideniya,RU,64.38,-173.3,35.6,80,75,2.24,2020-10-19 23:58:31
atuona,PF,-9.8,-139.03,78.49,76,1,20.27,2020-10-19 23:58:27
lagoa,PT,39.05,-27.98,63.77,69,25,29.75,2020-10-20 00:00:50
cockburn town,TC,21.46,-71.14,82.06,77,69,12.73,2020-10-19 23:59:07
sao bento,BR,-6.28,-37.75,75.04,65,95,12.03,2020-10-20 00:03:44
chokurdakh,RU,70.63,147.92,15.39,97,93,6.49,2020-10-19 23:59:01
sao joao da barra,BR,-21.64,-41.05,72.82,82,100,11.99,2020-10-20 00:02:37
east london,ZA,-33.02,27.91,64.67,83,22,20.31,2020-10-19 23:57:45
cairns,AU,-16.92,145.77,84.61,54,55,5.82,2020-10-20 00:00:43
flin flon,CA,54.77,-101.86,30.2,54,90,8.05,2020-10-19 23:59:10
lebu,CL,-37.62,-73.65,50.16,74,0,13.04,2020-10-19 23:58:38
tiksi,RU,71.69,128.87,14.23,92,100,24.18,2020-10-20 00:05:28
chahal,GT,15.75,-89.57,74.35,91,73,1.3,2020-10-20 00:05:28
victoria,HK,22.29,114.16,70.66,75,9,3,2020-10-19 23:58:22
nanortalik,GL,60.14,-45.24,36.75,88,98,1.7,2020-10-20 00:05:29
kirakira,SB,-10.45,161.92,84.88,72,32,9.51,2020-10-19 23:59:50
rabat,MA,33.99,-6.84,59,87,93,3.98,2020-10-20 00:05:29
divnomorskoye,RU,44.5,38.14,53.98,80,17,6.98,2020-10-20 00:05:29
gbarnga,LR,7,-9.47,70.5,98,50,1.28,2020-10-20 00:05:29
yaan,NG,7.38,8.57,73.83,95,63,4.63,2020-10-20 00:05:29
avarua,CK,-21.21,-159.78,78.8,78,24,6.93,2020-10-19 23:59:05
boyolangu,ID,-8.12,111.89,79.14,76,65,0.96,2020-10-20 00:05:29
berlevag,NO,70.86,29.09,39.11,75,100,15.17,2020-10-20 00:05:30
haines junction,CA,60.75,-137.51,30.4,75,100,0.83,2020-10-20 00:05:30
leningradskiy,RU,69.38,178.42,27.41,91,89,6.85,2020-10-19 23:58:25
barentu,ER,15.11,37.59,72.25,42,0,3.56,2020-10-20 00:05:30
kloulklubed,PW,7.04,134.26,84.2,79,75,7.36,2020-10-20 00:05:30
katsuura,JP,35.13,140.3,60.21,67,95,12.75,2020-10-19 23:58:34
puerto ayora,EC,-0.74,-90.35,70,90,98,4,2020-10-19 23:58:33
rafaela,AR,-31.25,-61.49,75.6,59,78,8.99,2020-10-20 00:05:30
san quintin,MX,30.48,-115.95,74.23,65,0,20.36,2020-10-20 00:02:55
beruwala,LK,6.48,79.98,79.57,85,25,10.65,2020-10-20 00:05:30
barrow,US,71.29,-156.79,23,79,90,12.75,2020-10-19 23:58:38
beyneu,KZ,45.32,55.2,54.54,33,0,13.15,2020-10-20 00:05:31
abu samrah,SY,35.3,37.18,66.79,50,48,7.58,2020-10-20 00:01:13
ancud,CL,-41.87,-73.82,47.16,75,20,5.82,2020-10-19 23:59:42
shouguang,CN,36.88,118.74,58.17,45,55,4.92,2020-10-20 00:05:31
pemangkat,ID,1.17,108.97,79.72,82,98,4.72,2020-10-19 23:59:48
dagestanskiye ogni,RU,42.12,48.19,63.14,68,0,8.19,2020-10-20 00:05:31
domanivka,UA,47.63,30.99,43.27,77,0,7.34,2020-10-20 00:05:31
turiacu,BR,-1.66,-45.37,77.05,84,75,5.08,2020-10-20 00:05:31
storforshei,NO,66.4,14.52,32,85,100,3.04,2020-10-20 00:05:32
panjab,AF,34.39,67.02,27.34,81,0,0.13,2020-10-20 00:05:32
kavieng,PG,-2.57,150.8,84.76,66,72,0.47,2020-10-19 23:59:13
izumo,JP,35.37,132.77,53.6,87,20,8.05,2020-10-20 00:05:32
terrace,CA,54.52,-128.6,39.2,100,90,3.36,2020-10-20 00:05:32
bitlis,TR,38.5,42.25,43.43,58,26,2.19,2020-10-20 00:05:32
ugoofaaru,MV,5.67,73,81.45,81,3,12.68,2020-10-19 23:59:48
cabo san lucas,MX,22.89,-109.91,88.3,52,5,11.41,2020-10-20 00:05:32
sorland,NO,67.67,12.69,39.33,66,64,2.95,2020-10-20 00:05:32
hervey bay,AU,-25.3,152.85,79.95,57,40,12.75,2020-10-20 00:05:32
hovd,MN,48.01,91.64,24.57,82,57,1.72,2020-10-20 00:05:32
aklavik,CA,68.22,-135.01,23,85,90,10.29,2020-10-19 23:59:28
troitskaya,RU,43.31,44.98,57.2,82,83,6.71,2020-10-20 00:05:33
qaanaaq,GL,77.48,-69.36,29.79,89,71,9.62,2020-10-19 23:54:47
coquimbo,CL,-29.95,-71.34,57.2,76,0,10.29,2020-10-20 00:02:06
kysyl-syr,RU,63.9,122.76,19.53,97,100,5.03,2020-10-20 00:05:33
bathsheba,BB,13.22,-59.52,80.6,83,40,3.36,2020-10-19 23:58:48
verkhnyaya inta,RU,65.98,60.31,18.09,93,57,4.14,2020-10-20 00:05:33
hare bay,CA,48.85,-54.01,53.29,93,75,9.17,2020-10-20 00:05:33
wingham,CA,43.89,-81.31,43.95,88,100,5.01,2020-10-20 00:04:37
saint-pierre,RE,-21.34,55.48,67.28,64,1,6.93,2020-10-19 23:59:46
saraza,PH,8.74,117.78,81.19,80,100,5.46,2020-10-20 00:05:34
santa isabel do rio negro,BR,-0.41,-65.02,76.69,85,95,1.14,2020-10-19 23:58:34
mandurah,AU,-32.55,115.7,64,77,6,3,2020-10-20 00:05:34
eyl,SO,7.98,49.82,79.34,80,0,1.43,2020-10-20 00:00:34
nikolskoye,RU,59.7,30.79,34.86,93,90,13.42,2020-10-19 23:58:41
tasiilaq,GL,65.61,-37.64,32,91,42,13.87,2020-10-19 23:58:21
conde,BR,-7.26,-34.91,75.2,83,20,5.82,2020-10-20 00:05:34
muros,ES,42.78,-9.06,61,92,94,8.01,2020-10-20 00:05:34
sierra vista,US,31.55,-110.3,83.61,7,1,9.17,2020-10-20 00:02:58
neryungri,RU,56.67,124.65,21.63,95,100,5.17,2020-10-20 00:05:35
bengkulu,ID,-3.8,102.27,76.73,82,100,4.41,2020-10-19 23:55:50
cidreira,BR,-30.18,-50.21,67.84,91,0,16.58,2020-10-19 23:58:41
kitimat,CA,54.05,-128.65,46,89,91,3.42,2020-10-20 00:05:32
tuktoyaktuk,CA,69.45,-133.04,24.8,85,90,16.11,2020-10-19 23:58:34
vaini,TO,-21.2,-175.2,77,69,75,10.29,2020-10-19 23:58:21
dunedin,NZ,-45.87,170.5,54,63,49,17,2020-10-19 23:59:06
iwanai,JP,42.97,140.51,57.99,49,9,10.11,2020-10-20 00:05:35
palauig,PH,15.44,119.9,82.96,71,90,3.31,2020-10-19 23:59:25
frontera,MX,26.93,-101.45,89.01,36,0,1.99,2020-10-20 00:05:35
mount gambier,AU,-37.83,140.77,53.6,71,90,3.36,2020-10-19 23:58:25
asifabad,IN,19.37,79.28,74.16,90,90,3.36,2020-10-20 00:05:36
rawson,AR,-43.3,-65.1,52.27,45,25,7.02,2020-10-19 23:59:02
batemans bay,AU,-35.72,150.18,64,71,94,5.66,2020-10-20 00:05:36
tautira,PF,-17.73,-149.15,84.11,70,75,17.22,2020-10-20 00:05:36
los llanos de aridane,ES,28.66,-17.92,72.23,65,93,2.24,2020-10-19 23:59:53
beringovskiy,RU,63.05,179.32,39.58,80,82,11.41,2020-10-19 23:58:53
norman wells,CA,65.28,-126.83,21.2,67,40,16.11,2020-10-19 23:59:16
atasu,KZ,48.68,71.64,38.75,54,49,4.29,2020-10-19 23:59:37
dikson,RU,73.51,80.55,24.39,95,98,18.03,2020-10-19 23:58:48
kruisfontein,ZA,-34,24.73,59,81,100,5.99,2020-10-19 23:58:55
saint-philippe,RE,-21.36,55.77,67.15,64,36,6.93,2020-10-19 23:54:47
warwick,US,41.7,-71.42,52.7,82,75,5.82,2020-10-19 23:55:13
sabha,LY,27.04,14.43,69.37,64,0,17.9,2020-10-19 23:59:28
olafsvik,IS,64.89,-23.71,39.02,74,90,7.25,2020-10-20 00:04:30
fairbanks,US,64.84,-147.72,20.8,79,90,2.24,2020-10-20 00:04:50
sitka,US,57.05,-135.33,44.6,75,90,3.36,2020-10-19 23:57:52
severo-kurilsk,RU,50.68,156.12,41.63,65,67,10.09,2020-10-19 23:58:39
sarangani,PH,5.4,125.46,81.95,78,100,9.4,2020-10-20 00:05:37
damara,CF,4.96,18.7,70.97,93,96,1.54,2020-10-20 00:05:37
riyadh,SA,24.69,46.72,66.2,25,0,4.7,2020-10-20 00:02:20
vagur,FO,61.47,-6.81,45.28,73,69,33.24,2020-10-20 00:05:37
yulara,AU,-25.24,130.99,71.6,68,24,12.75,2020-10-19 23:59:14
port augusta,AU,-32.5,137.77,69.75,59,100,2.24,2020-10-19 23:59:23
bud,US,39.45,-86.18,48.76,100,90,3.36,2020-10-20 00:05:23
hithadhoo,MV,-0.6,73.08,82.69,77,94,13.11,2020-10-19 23:58:32
vardo,NO,70.37,31.11,40.71,70,100,16.6,2020-10-19 23:59:13
vila velha,BR,-20.33,-40.29,71.6,94,75,4.7,2020-10-19 23:58:24
te anau,NZ,-45.42,167.72,54.03,49,13,4.54,2020-10-20 00:04:55
namibe,AO,-15.2,12.15,67.39,82,10,6.38,2020-10-19 23:58:37
ruda slaska,PL,50.26,18.86,42.42,88,68,5.57,2020-10-20 00:05:38
half moon bay,US,37.46,-122.43,72.57,56,5,8.05,2020-10-19 23:58:29
chuy,UY,-33.7,-53.46,66.58,77,0,5.86,2020-10-19 23:58:36
kapaa,US,22.08,-159.32,84.58,70,40,12.75,2020-10-19 23:53:39
hami,CN,42.8,93.45,39.31,67,3,2.28,2020-10-19 23:59:33
meulaboh,ID,4.14,96.13,76.84,81,78,4.03,2020-10-19 23:59:03
georgetown,MY,5.41,100.34,79.75,94,20,2.24,2020-10-19 23:58:29
xining,CN,36.62,101.77,34.39,77,23,1.34,2020-10-19 23:58:36
mezen,RU,65.85,44.24,27.64,98,100,8.95,2020-10-20 00:05:39
kamaishi,JP,39.27,141.88,46.4,93,20,4.7,2020-10-20 00:03:10
la rioja,ES,42.25,-2.5,60.39,67,100,19.46,2020-10-20 00:05:39
saint-augustin,CA,51.23,-58.65,44.1,82,34,10.71,2020-10-19 23:59:18
rocha,UY,-34.48,-54.33,65.61,83,16,11.05,2020-10-20 00:05:39
gat,IL,31.61,34.76,71.19,78,10,6.93,2020-10-20 00:05:39
amahai,ID,-3.33,128.92,82.71,72,75,0.65,2020-10-20 00:05:39
qandala,SO,11.47,49.87,81.19,48,0,4.47,2020-10-20 00:05:40
mehamn,NO,71.04,27.85,37.89,79,99,13.76,2020-10-19 23:59:04
sarapulka,RU,56.87,61.06,42.8,75,72,4.47,2020-10-20 00:05:40
madimba,TZ,-10.4,40.33,69.8,88,20,2.44,2020-10-20 00:05:40
harboore,DK,56.62,8.18,46.69,76,100,3,2020-10-20 00:05:40
kemin,KG,42.78,75.69,54.3,33,0,13.02,2020-10-20 00:05:40
bull savanna,JM,17.89,-77.59,77.16,84,91,7.29,2020-10-20 00:05:40
bria,CF,6.54,21.99,70.47,90,90,1.79,2020-10-20 00:05:40
brae,GB,60.4,-1.35,46.4,93,100,36.91,2020-10-20 00:04:24
narnaul,IN,28.04,76.11,72.5,21,0,2.51,2020-10-20 00:05:41
faya,SA,18.39,42.45,56.3,22,0,5.82,2020-10-20 00:05:41
souillac,MU,-20.52,57.52,73.4,78,40,9.17,2020-10-19 23:59:01
leh,IN,34.17,77.58,33.64,57,0,7.18,2020-10-20 00:05:41
kieta,PG,-6.22,155.63,86.23,63,35,5.03,2020-10-19 23:54:47
clyde river,CA,70.47,-68.59,33.8,80,90,23.04,2020-10-19 23:59:00
bubaque,GW,11.28,-15.83,82.45,87,2,9.93,2020-10-19 23:59:23
jiangyou,CN,31.77,104.72,58.42,82,100,0.65,2020-10-20 00:05:41
pisco,PE,-13.7,-76.22,65.25,72,0,17.22,2020-10-19 23:59:01
rorvik,NO,64.86,11.24,40.96,69,80,11.36,2020-10-20 00:05:41
campoverde,PE,-8.48,-74.81,82.4,69,75,6.93,2020-10-20 00:05:41
eston,CA,51.15,-108.75,24.08,62,90,18.34,2020-10-20 00:05:42
atar,MR,20.52,-13.05,85.89,24,0,7.76,2020-10-19 23:58:57
santa marta,CO,11.24,-74.2,84.99,81,77,1.99,2020-10-20 00:05:42
saveh,IR,35.02,50.36,57,32,0,4.03,2020-10-20 00:05:42
ust-omchug,RU,61.15,149.63,15.84,90,99,6.49,2020-10-20 00:02:27
troitsko-pechorsk,RU,62.71,56.2,32.23,97,100,5.66,2020-10-20 00:05:42
laguna,US,38.42,-121.42,88.72,19,1,9.17,2020-10-19 23:59:33
codrington,AU,-38.27,141.97,56.12,74,51,0.89,2020-10-19 23:59:20
darmanesti,RO,46.37,26.48,37.2,93,0,3.36,2020-10-20 00:05:42
tadine,NC,-21.55,167.88,73.54,77,75,15.37,2020-10-20 00:05:43
mulege,MX,26.88,-111.98,91.45,31,0,4.79,2020-10-20 00:05:43
arraial do cabo,BR,-22.97,-42.03,72.45,82,93,22.77,2020-10-19 23:58:37
esperance,AU,-33.87,121.9,60.8,100,90,8.05,2020-10-19 23:59:18
kemijarvi,FI,66.71,27.43,24.15,98,83,4.88,2020-10-20 00:05:43
iqaluit,CA,63.75,-68.51,23,79,75,6.93,2020-10-19 23:59:21
marshall,US,34.38,-86.33,68.77,68,1,3.36,2020-10-20 00:05:43
faanui,PF,-16.48,-151.75,79.11,80,12,20.31,2020-10-19 23:58:59
groningen,NL,53.25,6.75,46.18,87,100,9.17,2020-10-20 00:02:52
asau,RO,46.43,26.4,37.98,93,0,2.24,2020-10-20 00:01:23
mayo,US,38.89,-76.51,60.64,92,68,7.92,2020-10-20 00:05:44
kahului,US,20.89,-156.47,84.96,43,40,11.41,2020-10-19 23:56:36
hobyo,SO,5.35,48.53,79.84,77,14,15.03,2020-10-20 00:05:20
montenegro,ME,42.5,19.3,46.4,81,0,1.12,2020-10-20 00:05:44
nebolchi,RU,59.12,33.35,32.14,97,83,8.39,2020-10-20 00:05:44
samarai,PG,-10.62,150.67,80.98,82,17,8.01,2020-10-19 23:59:31
mayumba,GA,-3.43,10.66,76.91,87,100,6.26,2020-10-19 23:59:51
jumla,NP,29.27,82.18,46.94,55,0,4.81,2020-10-20 00:05:44
nemuro,JP,43.32,145.57,55.4,57,20,5.82,2020-10-20 00:05:45
egvekinot,RU,66.32,-179.17,28.17,97,31,4.43,2020-10-19 23:58:38
coihaique,CL,-45.58,-72.07,44.6,83,75,6.93,2020-10-19 23:58:49
hit,IQ,33.64,42.83,71.8,23,0,7.23,2020-10-20 00:05:45
balkhash,KZ,46.84,74.98,41.7,54,11,14.97,2020-10-20 00:05:45
huarmey,PE,-10.07,-78.15,63.25,84,72,7.94,2020-10-20 00:05:45
mabaruma,GY,8.2,-59.78,77.9,85,93,4.99,2020-10-19 23:59:46
fortuna,US,40.6,-124.16,59.25,87,20,14.99,2020-10-19 23:58:29
micheweni,TZ,-4.97,39.83,77.22,85,4,9.42,2020-10-20 00:05:45
luderitz,NA,-26.65,15.16,58.28,71,0,22.97,2020-10-20 00:05:46
seymchan,RU,62.88,152.43,21.04,95,100,9.84,2020-10-20 00:05:46
yudong,CN,29.39,106.52,57.42,87,100,8.95,2020-10-20 00:03:52
willmar,US,45.12,-95.04,32.25,86,1,3.36,2020-10-20 00:05:46
hermanus,ZA,-34.42,19.23,57,81,99,5.01,2020-10-19 23:58:25
mariental,NA,-24.63,17.97,65.23,27,0,11.14,2020-10-20 00:05:46
vila franca do campo,PT,37.72,-25.43,59,77,40,11.41,2020-10-19 23:59:08
chuzhou,CN,32.32,118.3,58.3,73,0,4.18,2020-10-20 00:05:46
camana,PE,-16.62,-72.71,63.03,73,44,6.87,2020-10-20 00:05:47
margate,GB,51.38,1.39,52.9,66,98,8.01,2020-10-19 23:58:52
baijiantan,CN,45.63,85.18,42.51,50,0,10.38,2020-10-20 00:05:47
mayor pablo lagerenza,PY,-19.93,-60.77,78.31,69,35,6.55,2020-10-20 00:05:47
san cristobal,VE,7.77,-72.22,86,51,40,10.29,2020-10-19 23:58:49
padang,ID,-0.95,100.35,79.88,67,48,4.47,2020-10-19 23:59:12
saint george,US,37.1,-113.58,85.91,10,1,16.11,2020-10-19 23:58:23
douentza,ML,15,-2.95,87.12,18,0,7.31,2020-10-20 00:05:47
sinnamary,GF,5.38,-52.95,81.12,81,34,11.88,2020-10-19 23:59:54
talaya,RU,61.38,152.75,18.57,92,98,4.32,2020-10-20 00:05:47
moose factory,CA,51.26,-80.61,30.2,86,75,4.7,2020-10-20 00:05:48
chervonohryhorivka,UA,47.62,34.54,48.33,70,0,8.43,2020-10-20 00:05:48
longyearbyen,SJ,78.22,15.64,28.4,68,75,9.17,2020-10-19 23:58:31
naze,JP,28.37,129.48,78.8,78,75,20.8,2020-10-19 23:58:59
agropoli,IT,40.35,15,52,80,29,1.99,2020-10-20 00:05:48
chilca,PE,-12.52,-76.74,63.23,72,75,13.87,2020-10-20 00:05:48
kangaatsiaq,GL,68.31,-53.46,37.63,79,100,17.2,2020-10-20 00:05:48
samandag,TR,36.08,35.98,66.2,93,40,5.82,2020-10-20 00:05:48
san policarpo,PH,12.18,125.51,80.58,83,100,10.09,2020-10-20 00:05:49
ukiah,US,39.15,-123.21,87.1,19,1,8.05,2020-10-19 23:53:12
port hawkesbury,CA,45.62,-61.35,54.86,93,90,6.93,2020-10-19 23:59:14
shumskiy,RU,54.83,99.13,26.74,84,65,3,2020-10-20 00:05:49
jacareacanga,BR,-6.22,-57.75,79.79,66,98,1.59,2020-10-20 00:05:49
korla,CN,41.76,86.15,43,86,0,1.01,2020-10-19 23:59:31
stornoway,GB,58.21,-6.39,51.48,93,100,8.05,2020-10-20 00:05:49
tura,IN,25.52,90.22,71.1,90,0,3.36,2020-10-20 00:05:49
lovrenc na pohorju,SI,46.54,15.39,39.29,84,36,2.39,2020-10-20 00:05:49
dolinsk,RU,47.35,142.8,39.2,80,39,6.71,2020-10-20 00:05:50
charters towers,AU,-20.1,146.27,85.73,34,4,10.94,2020-10-20 00:02:20
lodja,CD,-3.48,23.43,69.13,97,78,1.5,2020-10-20 00:05:50
sibolga,ID,1.74,98.78,77.11,76,86,3.85,2020-10-19 23:59:30
cap malheureux,MU,-19.98,57.61,71.01,78,13,1.99,2020-10-19 23:59:11
kaura namoda,NG,12.59,6.58,82.2,34,29,4.7,2020-10-20 00:05:50
castro,BR,-24.79,-50.01,62.6,94,12,7.76,2020-10-19 23:58:33
teya,RU,60.38,92.63,25.86,94,98,6.98,2020-10-20 00:05:50
upernavik,GL,72.79,-56.15,33.1,90,25,6.85,2020-10-20 00:05:50
baruun-urt,MN,46.68,113.28,44.06,51,100,16.13,2020-10-20 00:05:50
boysun,UZ,38.21,67.2,47.8,48,0,0.6,2020-10-20 00:05:51
taltal,CL,-25.4,-70.48,59.02,72,19,3.76,2020-10-20 00:00:53
khatanga,RU,71.97,102.5,10.45,96,40,1.36,2020-10-19 23:58:28
miyako,JP,39.64,141.95,61.61,52,13,2.75,2020-10-20 00:05:51
pauini,BR,-7.71,-66.98,72.9,95,100,1.72,2020-10-20 00:05:51
otradnoye,RU,59.78,30.82,35.19,92,90,13.42,2020-10-20 00:05:51
mzimba,MW,-11.9,33.6,67.3,56,0,11.36,2020-10-20 00:05:51
kodinsk,RU,58.69,99.18,26.04,94,100,10,2020-10-20 00:05:51
balmazujvaros,HU,47.62,21.35,46.4,87,8,4.7,2020-10-20 00:05:51
petukhovo,RU,55.07,67.9,47.26,69,100,5.39,2020-10-20 00:05:51
gazli,UZ,40.13,63.45,52.12,38,0,7.56,2020-10-20 00:05:52
port lincoln,AU,-34.73,135.87,59.27,78,100,11.61,2020-10-19 23:59:09
kununurra,AU,-15.77,128.73,89.6,66,41,8.05,2020-10-20 00:05:52
pergine valsugana,IT,46.06,11.24,36.81,92,90,1.68,2020-10-20 00:05:52
cayenne,GF,4.93,-52.33,78.8,94,20,1.12,2020-10-19 23:59:14
japura,ID,-0.32,102.35,75.85,93,76,0.96,2020-10-20 00:05:52
datong,CN,40.09,113.29,47.25,47,84,4.92,2020-10-19 23:58:21
tromso,NO,69.65,18.96,24.8,92,0,6.93,2020-10-19 23:58:53
orlik,RU,52.52,99.83,8.4,83,17,4.23,2020-10-20 00:05:52
luganville,VU,-15.53,167.17,80.6,78,75,10.09,2020-10-19 23:59:42
fort nelson,CA,58.81,-122.7,28.4,54,20,3.36,2020-10-20 00:05:52
college,US,64.86,-147.8,20.73,79,90,3.36,2020-10-19 23:58:11
basco,PH,20.45,121.97,82.74,77,100,35.32,2020-10-20 00:05:53
zhob,PK,31.34,69.45,53.49,29,0,3.53,2020-10-20 00:03:01
tabory,RU,58.52,64.55,34.25,93,0,6.04,2020-10-20 00:05:53
nisia floresta,BR,-6.09,-35.21,77,83,40,4.7,2020-10-20 00:05:53
carnarvon,AU,-24.87,113.63,69.8,73,90,13.87,2020-10-19 23:58:45
fort walton beach,US,30.41,-86.62,77.11,78,1,10.63,2020-10-20 00:02:46
morehead,US,37.27,-87.18,63,96,90,3.36,2020-10-20 00:01:27
araouane,ML,18.9,-3.53,87.21,13,0,8.68,2020-10-20 00:04:59
tabora,TZ,-5.02,32.8,70.57,58,84,4.65,2020-10-20 00:05:53
lensk,RU,60.73,114.93,22.93,96,57,6.55,2020-10-20 00:05:53
pevek,RU,69.7,170.31,25.59,93,1,14.67,2020-10-19 23:58:32
ngunguru,NZ,-35.62,174.5,72,61,100,8.01,2020-10-20 00:05:54
tabuk,PH,17.42,121.44,75.96,90,95,12.19,2020-10-19 23:59:58
mount isa,AU,-20.73,139.5,89.6,13,0,10.29,2020-10-19 23:58:24
hay river,CA,60.82,-115.8,26.6,53,20,6.93,2020-10-19 23:59:17
necochea,AR,-38.55,-58.74,52,56,0,5.01,2020-10-19 23:59:16
atocha,BO,-20.93,-66.23,52.34,44,57,23.62,2020-10-20 00:05:54
fukuma,JP,33.77,130.47,63.21,77,20,2.24,2020-10-20 00:05:54
new plymouth,NZ,-39.07,174.08,54,86,100,7,2020-10-20 00:05:54
dumra,IN,26.57,85.52,71.83,68,22,1.21,2020-10-20 00:05:54
le port,RE,-20.94,55.29,64.99,68,7,10.29,2020-10-20 00:05:55
